X77A_2.18_total	X77B_2.18_total	X77C_2.18_total	X77A_3.12_total	X77B_3.12_total	X77C_3.12_total	X77A_4.2_total	X77B_4.2_total	X77C_4.2_total	X50A_2.12_total	X50B_2.12_total	X50C_2.12_total	X50A_3.6_total	X50B_3.6_total	X50C_3.6_total	X50A_3.27_total	X50B_3.27_total	X50C_3.27_total	X50A_2.12_VLP	X50B_2.12_VLP	X50C_2.12_VLP	X50A_2.13_VLP	X50B_2.13_VLP	X50C_2.13_VLP	X50A_3.6_VLP	X50B_3.6_VLP	X50C_3.6_VLP	X50A_3.27_VLP	X50B_3.27_VLP	X50C_3.27_VLP	X77A_2.18_VLP	X77B_2.18_VLP	X77C_2.18_VLP	X77A_2.19_VLP	X77B_2.19_VLP	X77C_2.19_VLP	X77A_3.12_VLP	X77B_3.12_VLP	X77C_3.12_VLP	X77A_4.2_VLP	X77B_4.2_VLP	X77C_4.2_VLP	X50A_2.12_IND	X50B_2.12_IND	X50C_2.12_IND	X50A_2.13_IND	X50B_2.13_IND	X50C_2.13_IND	X50A_3.6_IND	X50B_3.6_IND	X50C_3.6_IND	X50A_3.27_IND	X50B_3.27_IND	X77A_2.18_IND	X77B_2.18_IND	X77C_2.18_IND	X77A_2.19_IND	X77B_2.29_IND	X77C_2.19_IND	X77A_3.12_IND	X77B_3.12_IND	X77C_3.12_IND	X77A_4.2_IND	X77B_4.2_IND	X77C_4.2_IND
1460_1459_VLP	6.54438934432194e-06	9.65725864227551e-06	1.27843682971957e-05	6.93817393209114e-06	4.49157022963066e-06	1.71102653464703e-06	1.90069351554649e-06	8.53448643727864e-06	8.46641868649036e-06	7.88787387289677e-07	2.70795727089604e-06	1.85767999204341e-06	3.81748599459826e-06	2.8564887212257e-07	5.51758276275616e-06	0	0	1.3514193788809e-06	0	0	0	0	2.62701934051044e-07	0	0	6.56939581266711e-06	0	0	0	0	0	0	3.55535329545697e-06	0	0	0	0	1.71893297235741e-05	0	0	0	8.41079323452614e-07	0	6.02132875070073e-07	2.42458627465956e-06	0.000248110119105916	0.000711657713367765	0.000156883847313179	7.04110066485593e-07	0	0.000233934762386425	0	5.4734344902219e-06	0.000207060501959427	0.000559467415895805	0.000143202451230924	0.00124496812636885	0.00147657924001193	2.05087446760859e-05	5.47421780270372e-06	1.25337530051631e-05	2.93695675478026e-06	0.0056022783937458	0.00312419154920212	0.00582415641737812
150663_12727_VLP	3.09997389994197e-06	7.97773540014064e-06	2.42902997646717e-05	6.93817393209114e-06	6.39184994216671e-06	6.65399207918289e-06	4.75173378886621e-06	2.84482881242621e-06	2.20863096169314e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17017093857071e-06	1.10407386695799e-06	2.37023553030465e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48614091855695e-06	0	0	0	0	0	0
1541036_99683_IND	2.04942718940608e-05	4.55570679429084e-05	1.91765524457935e-05	1.04072608981367e-05	9.32864586154061e-06	9.10171059402516e-06	9.50346757773242e-06	6.54310626858029e-05	6.03692462862791e-05	9.58376675556958e-05	0.000125304568262372	4.68706951838646e-05	9.33163243124018e-06	1.28541992455156e-05	5.12346970827358e-05	2.23181107451437e-05	2.024946069991e-05	1.85820164596123e-06	0.00809434981328058	0.00334309126276818	0.00178786836483076	0.000301452491511919	0.00021646639365806	0.00248082505616614	0.00391572499379374	0.000501901840087767	3.54227020555204e-05	0.00521342610601069	0.000324585201970263	0.00111093998723905	0.00217417760386437	0.00209939645802063	0.00147487905873207	3.83602526406239e-06	1.24247062799435e-05	0.001299406187514	0.000442522377552047	8.59466486178705e-06	0.000679846839102915	6.19197713598982e-05	0.000131836778605627	0.000194289323717554	0.011484814166727	0.00720196078549438	0.00837573328581144	0.00131890115945776	0.00117055026802319	0.00724476320312357	0.000124275426734707	1.06987572323599e-06	2.32193312542357e-06	0.000744980570687537	0.000593867642189077	0.00125430163529296	0.00274247317804924	0.000251838793544038	0	8.89636279801459e-05	0.0015460323975748	0.000620411350973088	0.00171712416170735	0	0.00039992369656668	9.24685892514096e-05	0.000103738155016913
1545310_100359_IND	1.25721163719869e-05	1.65852920160819e-05	2.10942076903728e-05	1.338076401189e-05	1.03651620683785e-05	2.85171089107838e-06	4.75173378886621e-06	1.70689728745573e-05	1.25155754495944e-05	1.18318108093452e-06	3.93884693948516e-06	2.28637537482266e-06	7.2108068786856e-06	8.56946616367709e-07	4.72935665379099e-06	0	0	1.85820164596123e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18511776515232e-06	0	0	0	0	1.71893297235741e-05	0	1.07686558886779e-06	0	8.41079323452614e-07	0	2.10746506274526e-06	5.15224583365156e-06	0.000211546522606096	0.000760022800684021	0.000144619312018338	1.40822013297119e-06	0	0.000237998145355916	0	4.69151527733306e-06	0.000758662217539629	0.000552248481497149	4.44421400371833e-05	0.00166403602148564	0.000709539179256286	0.00011428423663703	5.47421780270372e-06	1.41004721308085e-05	2.93695675478026e-06	0.00592188268681791	0.00343484445017034	0.00447309044608642
1546282_100483_IND	0.00013760439700298	0.000169421907050355	0.000240346123987278	0.000155117745767466	9.55322437302214e-05	3.27946752474014e-05	5.41697651930748e-05	0.000200560431276048	0.000146137748632029	5.04823927865393e-05	0.000121119543389169	0.000104315876476284	0.000216748371471079	4.74177127723466e-05	0.000278243816464703	4.19580482008701e-05	4.04989213998199e-05	5.62528316459173e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20426575014015e-06	0	4.17869674283647e-05	8.98208764444752e-05	0.000287450045972844	0	0	0	0	0	0	0	0	0	1.0849222924408e-06	6.53902004165059e-06	0	0	0	2.17531717797776e-05	1.55845936940578e-05	3.21094289338064e-05
1568425_102182_IND	3.77163491159606e-05	8.08270560277407e-05	3.70746680618674e-05	4.01422920356701e-05	6.02906926977347e-05	2.2338401980114e-05	8.55312081995918e-06	3.84051889677539e-05	5.00623017983778e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72312819456666e-05	6.07240626826897e-05	0.00011732665875008	0.00490339929378775	0.00282289326680317	0.00407577717201596	5.5488699379567e-06	0	3.40989010208358e-05	1.07686558886779e-05	1.24374319439271e-05	1.00929518814314e-05	0	0	0	0	0	0	0	0	0	4.56623089603149e-07	7.81919212888844e-07	0.00344429289025122	0.00183144365693891	0.00198508225499419	0.00174968493435623	0.00545390436409992	0.00395878217885201	5.47421780270372e-06	0.000120637372674695	8.81087026434079e-06	0.000108765858898888	3.94809706916131e-05	2.46995607183126e-06
189_188_IND	2.41109081106598e-06	4.19880810533718e-07	2.55687365943913e-06	1.48675155687667e-06	0	9.50570297026127e-08	1.90069351554649e-06	0	1.47242064112876e-06	0	2.46177933717822e-07	0	8.48330221021835e-07	2.8564887212257e-07	7.88226108965166e-07	0	0	3.37854844720224e-07	0	0	6.78232139483284e-06	0	0	0	7.00353240665761e-05	0	0	8.16810022876126e-06	0	0.000254304678148856	0.000227013162082717	0.000273810319005583	4.85898283712452e-05	0	7.20632964236725e-05	0	1.52593923293809e-05	0	1.84702380529528e-05	1.61529838330169e-05	0	2.52323797035784e-06	0	6.92452806330584e-06	5.15224583365156e-06	0	0	7.66533455927584e-07	0	0	0	1.36986926880945e-06	0.000167330711558213	0.00189395069945411	2.38224835155633e-05	0	0.000764722436344504	0	2.9722818371139e-07	1.82473926756791e-05	0.000429281040426837	0	0	0	0
2052_2051_IND	2.06664926662798e-06	7.34791418434006e-06	3.8353104891587e-06	2.08145217962734e-05	7.25561344786492e-06	4.03992376236104e-06	1.90069351554649e-06	5.68965762485242e-06	6.62589288507941e-06	4.73272432373806e-06	1.72324553602476e-06	0	5.51414643664193e-06	0	0	5.35634657883449e-06	2.53118258748874e-06	3.37854844720224e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.91684551134171e-07	0	0	0	1.00399254368204e-05	3.63640519528015e-05	1.72896925028188e-05
2281_2280_VLP	5.51106471100795e-06	7.34791418434006e-06	8.94905780803696e-06	7.43375778438336e-06	1.55477431025677e-06	1.42585544553919e-06	2.85104027331973e-06	4.26724321863932e-06	6.25778772479722e-06	1.97196846822419e-06	2.70795727089604e-06	2.42927383574908e-06	2.5449906630655e-06	8.56946616367709e-07	6.30580887172132e-06	0	1.26559129374437e-06	1.3514193788809e-06	0	0	0	0	0	4.76944161523817e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29733243089352e-06	0	2.15373117773559e-06	0	0	3.54792609528026e-07	1.50533218767518e-06	7.87990539264356e-06	0.000266391917355825	0.000452559031316394	9.42836150790928e-05	1.05616509972839e-06	0	5.16630120406745e-05	0	0	0.000320104343569708	0.000213680458200204	1.97520622387481e-05	0.00074025131838148	0.000239767826629418	5.23121603332047e-05	0	3.13343825129078e-06	0	0.00230750952956256	0.00126027414339281	0.00177095850350302
268318_14671_VLP	6.88883088875993e-06	8.81749702120808e-06	1.15059314674761e-05	6.44259007979891e-06	4.14606482735138e-06	1.94866910890356e-06	2.85104027331973e-06	8.53448643727864e-06	7.36210320564379e-06	1.18318108093452e-06	2.46177933717822e-06	1.85767999204341e-06	3.81748599459826e-06	5.71297744245139e-07	4.72935665379099e-06	0	0	1.3514193788809e-06	0	0	0	0	0	0	1.25063078690314e-06	6.04384414765374e-05	0	0	4.70072703794732e-07	0	0	0	1.06660598863709e-05	0	0	0	0	5.15679891707223e-05	4.26236262760448e-06	2.15373117773559e-06	2.48748638878542e-06	1.68215864690523e-06	2.83834087622421e-06	9.0319931260511e-06	9.69834509863823e-06	0.00085924451774575	0.0017572648391573	0.000400130463994199	7.04110066485593e-07	0	0.000601961162766061	4.56623089603149e-07	7.03727291599959e-06	0.000547684354732321	0.00129435493767894	0.00073082630283368	0.00769310770962571	0.00356396973066804	5.70678112725869e-05	3.28453068162223e-05	0.000104970181418241	3.52434810573632e-05	0.0180183195172804	0.00849256459034856	0.0153606568107186
